family,side,band,fold,cfg,n_total,n_graded,wins,losses,HR_pct,ROI_pct,ROI_lo,ROI_hi,P_and_L,consist,grd_days,max_win_day,max_loss_day
earned_runs,UNDER,"[-149,-110]",B: 05-07..10,edge-med    EDG≥10 CV≤0.50,2,2,1,1,50.0,-10.0,-186.4,166.4,-0.2,0.5,2,2026-05-08/1p/+0.80u,2026-05-10/1p/-1.00u
earned_runs,UNDER,"[-149,-110]",C: 05-11..15,loose       EDG≥5  CV≤0.70,5,5,1,4,20.0,-62.61,-135.9,10.68,-3.13,0.0,2,2026-05-12/3p/-1.13u,2026-05-15/2p/-2.00u
earned_runs,UNDER,"[-149,-110]",C: 05-11..15,medium      EDG≥5  CV≤0.50,1,1,0,1,0.0,-100.0,-100.0,-100.0,-1.0,0.0,1,2026-05-12/1p/-1.00u,2026-05-12/1p/-1.00u
earned_runs,UNDER,"[-149,-110]",C: 05-11..15,edge-loose  EDG≥10 CV≤0.70,5,5,1,4,20.0,-62.61,-135.9,10.68,-3.13,0.0,2,2026-05-12/3p/-1.13u,2026-05-15/2p/-2.00u
earned_runs,UNDER,"[-149,-110]",C: 05-11..15,edge-med    EDG≥10 CV≤0.50,1,1,0,1,0.0,-100.0,-100.0,-100.0,-1.0,0.0,1,2026-05-12/1p/-1.00u,2026-05-12/1p/-1.00u
earned_runs,UNDER,"[-149,-110]",C: 05-11..15,HR65 loose  HR≥65 EDG≥5  CV≤0.70,1,1,0,1,0.0,-100.0,-100.0,-100.0,-1.0,0.0,1,2026-05-15/1p/-1.00u,2026-05-15/1p/-1.00u
earned_runs,UNDER,"[+101,+200]",OVERALL,loose       EDG≥5  CV≤0.70,3,3,3,0,100.0,104.0,102.04,105.96,3.12,1.0,3,2026-05-03/1p/+1.05u,2026-05-04/1p/+1.02u
earned_runs,UNDER,"[+101,+200]",OVERALL,edge-loose  EDG≥10 CV≤0.70,3,3,3,0,100.0,104.0,102.04,105.96,3.12,1.0,3,2026-05-03/1p/+1.05u,2026-05-04/1p/+1.02u
earned_runs,UNDER,"[+101,+200]",OVERALL,HR65 loose  HR≥65 EDG≥5  CV≤0.70,2,2,2,0,100.0,103.5,100.56,106.44,2.07,1.0,2,2026-05-03/1p/+1.05u,2026-05-04/1p/+1.02u
earned_runs,UNDER,"[+101,+200]",A: 05-03..06,loose       EDG≥5  CV≤0.70,3,3,3,0,100.0,104.0,102.04,105.96,3.12,1.0,3,2026-05-03/1p/+1.05u,2026-05-04/1p/+1.02u
earned_runs,UNDER,"[+101,+200]",A: 05-03..06,edge-loose  EDG≥10 CV≤0.70,3,3,3,0,100.0,104.0,102.04,105.96,3.12,1.0,3,2026-05-03/1p/+1.05u,2026-05-04/1p/+1.02u
earned_runs,UNDER,"[+101,+200]",A: 05-03..06,HR65 loose  HR≥65 EDG≥5  CV≤0.70,2,2,2,0,100.0,103.5,100.56,106.44,2.07,1.0,2,2026-05-03/1p/+1.05u,2026-05-04/1p/+1.02u
hits,OVER,"[-299,-200]",OVERALL,loose       EDG≥5  CV≤0.70,79,70,43,27,61.43,-12.5,-28.89,3.89,-8.748,0.25,12,2026-05-04/3p/+1.37u,2026-05-09/6p/-4.65u
hits,OVER,"[-299,-200]",OVERALL,medium      EDG≥5  CV≤0.50,10,9,7,2,77.78,11.53,-29.89,52.95,1.038,0.857,7,2026-05-06/2p/+0.99u,2026-05-09/2p/-2.00u
hits,OVER,"[-299,-200]",OVERALL,edge-loose  EDG≥10 CV≤0.70,67,59,38,21,64.41,-8.32,-25.89,9.26,-4.908,0.25,12,2026-05-15/4p/+1.69u,2026-05-09/5p/-3.65u
hits,OVER,"[-299,-200]",OVERALL,edge-med    EDG≥10 CV≤0.50,10,9,7,2,77.78,11.53,-29.89,52.95,1.038,0.857,7,2026-05-06/2p/+0.99u,2026-05-09/2p/-2.00u
hits,OVER,"[-299,-200]",OVERALL,HR65 loose  HR≥65 EDG≥5  CV≤0.70,79,70,43,27,61.43,-12.5,-28.89,3.89,-8.748,0.25,12,2026-05-04/3p/+1.37u,2026-05-09/6p/-4.65u
hits,OVER,"[-299,-200]",OVERALL,PROD-strict HR≥75 EDG≥10 CV≤0.50,9,8,6,2,75.0,6.72,-39.01,52.46,0.538,0.857,7,2026-05-06/1p/+0.49u,2026-05-09/2p/-2.00u
hits,OVER,"[-299,-200]",A: 05-03..06,loose       EDG≥5  CV≤0.70,21,21,15,6,71.43,2.88,-25.7,31.46,0.604,0.5,4,2026-05-04/3p/+1.37u,2026-05-06/7p/-1.21u
hits,OVER,"[-299,-200]",A: 05-03..06,medium      EDG≥5  CV≤0.50,4,4,4,0,100.0,43.84,37.41,50.27,1.754,1.0,3,2026-05-06/2p/+0.99u,2026-05-05/1p/+0.38u
hits,OVER,"[-299,-200]",A: 05-03..06,edge-loose  EDG≥10 CV≤0.70,15,15,11,4,73.33,5.92,-27.61,39.45,0.888,0.5,4,2026-05-04/2p/+0.91u,2026-05-06/5p/-0.56u
hits,OVER,"[-299,-200]",A: 05-03..06,edge-med    EDG≥10 CV≤0.50,4,4,4,0,100.0,43.84,37.41,50.27,1.754,1.0,3,2026-05-06/2p/+0.99u,2026-05-05/1p/+0.38u
